uid,capture_date,deaths
4,2020-01-22,0
4,2020-01-23,0
4,2020-01-24,0
4,2020-01-25,0
4,2020-01-26,0
4,2020-01-27,0
4,2020-01-28,0
4,2020-01-29,0
4,2020-01-30,0
4,2020-01-31,0
4,2020-02-01,0
4,2020-02-02,0
4,2020-02-03,0
4,2020-02-04,0
4,2020-02-05,0
4,2020-02-06,0
4,2020-02-07,0
4,2020-02-08,0
4,2020-02-09,0
4,2020-02-10,0
4,2020-02-11,0
4,2020-02-12,0
4,2020-02-13,0
4,2020-02-14,0
4,2020-02-15,0
4,2020-02-16,0
4,2020-02-17,0
4,2020-02-18,0
4,2020-02-19,0
4,2020-02-20,0
4,2020-02-21,0
4,2020-02-22,0
4,2020-02-23,0
4,2020-02-24,0
4,2020-02-25,0
4,2020-02-26,0
4,2020-02-27,0
4,2020-02-28,0
4,2020-02-29,0
4,2020-03-01,0
4,2020-03-02,0
4,2020-03-03,0
4,2020-03-04,0
4,2020-03-05,0
4,2020-03-06,0
4,2020-03-07,0
4,2020-03-08,0
4,2020-03-09,0
4,2020-03-10,0
4,2020-03-11,0
4,2020-03-12,0
4,2020-03-13,0
4,2020-03-14,0
4,2020-03-15,0
4,2020-03-16,1
4,2020-03-17,1
4,2020-03-18,1
4,2020-03-19,1
4,2020-03-20,1
4,2020-03-21,1
4,2020-03-22,1
4,2020-03-23,1
4,2020-03-24,1
4,2020-03-25,2
4,2020-03-26,2
4,2020-03-27,2
4,2020-03-28,2
4,2020-03-29,2
4,2020-03-30,2
4,2020-03-31,5
4,2020-04-01,5
4,2020-04-02,10
4,2020-04-03,10
4,2020-04-04,10
4,2020-04-05,15
4,2020-04-06,18
4,2020-04-07,18
4,2020-04-08,29
4,2020-04-09,32
4,2020-04-10,32
4,2020-04-11,32
4,2020-04-12,32
4,2020-04-13,32
4,2020-04-14,40
4,2020-04-15,43
4,2020-04-16,54
4,2020-04-17,99
4,2020-04-18,112
4,2020-04-19,131
4,2020-04-20,135
4,2020-04-21,150
4,2020-04-22,166
4,2020-04-23,179
4,2020-04-24,188
4,2020-04-25,188
4,2020-04-26,207
4,2020-04-27,220
4,2020-04-28,228
4,2020-04-29,252
4,2020-04-30,260
4,2020-05-01,310
