capture_date,last_update,confirmed,deaths,recovered,active,incident_rate,case_fatality_ratio,uid
2021-04-15,2021-04-15 04:20:54,57492,2532,52022,2938,147.68674575677397,4.404091003965769,4
2021-04-15,2021-04-15 04:20:54,128959,2331,99441,27187,4481.166168601015,1.8075512372149287,8
2021-04-15,2021-04-15 04:20:54,118975,3141,82929,32905,271.31623756360824,2.6400504307627655,12
2021-04-15,2021-04-15 04:20:54,12641,121,11989,531,16360.577234194008,0.9572027529467605,20
2021-04-15,2021-04-15 04:20:54,23841,557,22144,1140,72.53941944366791,2.3363113963340463,24
2021-04-15,2021-04-15 04:20:54,1201,31,947,223,1226.4112409116901,2.5811823480432974,28
2021-04-15,2021-04-15 04:20:54,2604157,58542,2278486,267129,5761.947626212954,2.248021144654489,32
2021-04-15,2021-04-15 04:20:54,205128,3794,184243,17091,6922.436770096457,1.8495768495768496,51
2021-04-15,2021-04-15 04:20:54,123,3,120,0,28.73160476524177,2.4390243902439024,3601
2021-04-15,2021-04-15 04:20:54,5356,54,0,5302,65.97684158659769,1.0082150858849888,3602
2021-04-15,2021-04-15 04:20:54,113,0,107,6,46.00977198697069,0.0,3603
2021-04-15,2021-04-15 04:20:54,1509,7,1397,105,29.498582738735212,0.4638833664678595,3604
2021-04-15,2021-04-15 04:20:54,677,4,661,12,38.5425562197552,0.5908419497784343,3605
2021-04-15,2021-04-15 04:20:54,234,13,221,0,43.69747899159664,5.555555555555555,3606
2021-04-15,2021-04-15 04:20:54,20492,820,19664,8,309.084601577701,4.001561585008784,3607
2021-04-15,2021-04-15 04:20:54,965,9,938,18,36.68364631642971,0.9326424870466321,3608
2021-04-15,2021-04-15 04:20:54,584205,9779,544989,29437,6486.554006040149,1.6738987170599362,40
2021-04-15,2021-04-15 04:20:54,291894,4009,255833,32052,2878.873281110149,1.3734437843874832,31
2021-04-15,2021-04-15 04:20:54,9505,190,8965,350,2417.049800634714,1.9989479221462387,44
2021-04-15,2021-04-15 04:20:54,159964,569,148093,11302,9400.893168302691,0.35570503363256734,48
2021-04-15,2021-04-15 04:20:54,703170,9987,591299,101884,426.9674141653685,1.4202824352574768,50
2021-04-15,2021-04-15 04:20:54,3744,44,3634,66,1302.8454506543806,1.1752136752136753,52
