uid,capture_date,confirmed,recovered,deaths
4,2020-01-22,0,0,0
4,2020-01-23,0,0,0
4,2020-01-24,0,0,0
4,2020-01-25,0,0,0
4,2020-01-26,0,0,0
4,2020-01-27,0,0,0
4,2020-01-28,0,0,0
4,2020-01-29,0,0,0
4,2020-01-30,0,0,0
4,2020-01-31,0,0,0
4,2020-02-01,0,0,0
4,2020-02-02,0,0,0
4,2020-02-03,0,0,0
4,2020-02-04,0,0,0
4,2020-02-05,0,0,0
4,2020-02-06,0,0,0
4,2020-02-07,0,0,0
4,2020-02-08,0,0,0
4,2020-02-09,0,0,0
4,2020-02-10,0,0,0
4,2020-02-11,0,0,0
4,2020-02-12,0,0,0
4,2020-02-13,0,0,0
4,2020-02-14,0,0,0
4,2020-02-15,0,0,0
4,2020-02-16,0,0,0
4,2020-02-17,0,0,0
4,2020-02-18,0,0,0
4,2020-02-19,0,0,0
4,2020-02-20,0,0,0
4,2020-02-21,0,0,0
4,2020-02-22,0,0,0
4,2020-02-23,0,0,0
4,2020-02-24,1,0,0
4,2020-02-25,1,0,0
4,2020-02-26,1,0,0
4,2020-02-27,1,0,0
4,2020-02-28,1,0,0
4,2020-02-29,1,0,0
4,2020-03-01,1,0,0
4,2020-03-02,1,0,0
4,2020-03-03,2,0,0
4,2020-03-04,4,0,0
4,2020-03-05,4,0,0
4,2020-03-06,4,0,0
4,2020-03-07,4,0,0
4,2020-03-08,5,0,0
4,2020-03-09,7,0,0
4,2020-03-10,8,0,0
4,2020-03-11,11,0,0
4,2020-03-12,12,0,0
4,2020-03-13,13,0,0
4,2020-03-14,15,0,0
4,2020-03-15,16,0,0
4,2020-03-16,18,0,1
4,2020-03-17,20,0,1
4,2020-03-18,24,0,1
4,2020-03-19,25,0,1
4,2020-03-20,29,0,1
4,2020-03-21,30,0,1
4,2020-03-22,34,1,1
4,2020-03-23,41,1,1
4,2020-03-24,43,1,1
4,2020-03-25,76,2,2
4,2020-03-26,80,3,2
4,2020-03-27,91,3,2
4,2020-03-28,107,4,2
4,2020-03-29,118,4,2
4,2020-03-30,146,4,2
4,2020-03-31,175,4,5
4,2020-04-01,197,4,5
4,2020-04-02,240,4,10
4,2020-04-03,275,8,10
4,2020-04-04,300,10,10
4,2020-04-05,338,12,15
4,2020-04-06,368,15,18
4,2020-04-07,424,16,18
4,2020-04-08,445,16,29
4,2020-04-09,485,17,32
4,2020-04-10,532,18,32
4,2020-04-11,556,18,32
4,2020-04-12,608,19,32
4,2020-04-13,666,22,32
4,2020-04-14,715,23,40
4,2020-04-15,785,29,43
4,2020-04-16,841,30,54
4,2020-04-17,907,30,99
4,2020-04-18,934,30,112
4,2020-04-19,997,33,131
4,2020-04-20,1027,36,135
4,2020-04-21,1093,36,150
4,2020-04-22,1177,40,166
4,2020-04-23,1236,40,179
4,2020-04-24,1331,43,188
4,2020-04-25,1464,47,188
4,2020-04-26,1532,52,207
4,2020-04-27,1704,58,220
4,2020-04-28,1830,59,228
4,2020-04-29,1940,61,252
4,2020-04-30,2127,64,260
4,2020-05-01,2291,68,310
4,2020-05-02,2470,72,331
4,2020-05-03,2705,85,345
4,2020-05-04,2895,90,397
4,2020-05-05,3225,95,421
4,2020-05-06,3393,104,458
4,2020-05-07,3564,106,468
4,2020-05-08,3781,109,472
4,2020-05-09,4042,115,502
4,2020-05-10,4403,120,558
4,2020-05-11,4687,122,558
4,2020-05-12,4968,127,610
4,2020-05-13,5227,132,648
4,2020-05-14,5640,136,691
4,2020-05-15,6054,153,745
4,2020-05-16,6403,168,745
4,2020-05-17,6665,170,778
4,2020-05-18,7073,173,801
4,2020-05-19,7654,178,850
4,2020-05-20,8146,188,930
4,2020-05-21,8677,194,938
4,2020-05-22,9219,206,996
4,2020-05-23,10001,217,1040
4,2020-05-24,10585,219,1075
4,2020-05-25,11176,220,1097
4,2020-05-26,11834,221,1128
4,2020-05-27,12459,228,1138
4,2020-05-28,13039,236,1209
4,2020-05-29,13662,247,1259
4,2020-05-30,14528,250,1303
4,2020-05-31,15208,258,1328
4,2020-06-01,15753,266,1428
4,2020-06-02,16512,274,1450
